Record,Description,Connection strength,Preferred Stage,Preferred Sector
Origin Ventures,"Origin Ventures is an early stage venture capital firm that invests in software, hardware, and marketplace businesses within the Digital Native economy, leveraging the extensive experience of its team in scaling businesses as founders, operators, and e...",Good,"Angel,Seed,Early Stage","FinTech,Consumer,E-Commerce / Marketplaces"
Mucker Capital,"Mucker Capital is a venture capital firm investing in software and Internet startups outside Silicon Valley, offering Seed and Series A funding to early-stage companies across North America and beyond.",Good,"Seed,Series A,Early Stage","AI,Consumer,Cloud Computing,Collaboration / Productivity Tools,E-Commerce / Marketplaces"
FirstLook,"FirstLook is a subscription box service that connects consumer brand founders with early stage investors. It provides a curated selection of emerging, high-growth consumer brands each month, along with Founder Pro Tips and insights. By simplifying the ...",Very weak,"Angel,Seed,Early Stage","Consumer,E-Commerce / Marketplaces"
OC4 Venture Studio,,Very weak,"Pre-Seed,Seed,Early Stage","AI,Cloud Computing,E-Commerce / Marketplaces"
Catalyze,"Catalyze is a national nonprofit democratizing access to capital, networks, and resources for Capital Entrepreneurs who are innovating innovative ways of distributing capital to founders.",Very weak,,FinTech
Ascensive Assets,Ascensive Assets is an early stage venture fund investing in ambitious founders shaping the future of blockchain technology.,Very weak,"Pre-Seed,Seed,Series A,Early Stage",Blockchain
Slow Ventures,"Slow Ventures is an angel investor group that believes in long-term thinking and building lasting companies. They provide entrepreneurs with resources, connections, and empathy to create strong, sustainable businesses at the intersection of technology,...",Very weak,"Angel,Seed,Early Stage",
RRE Ventures,"RRE Ventures is a venture capital firm that partners with innovative entrepreneurs to invest in early and mid-stage companies, primarily focusing on technology-enabled products and services, while providing strategic support and leveraging a vast netwo...",Weak,"Seed,Series A,Series B,Early Stage","AI,FinTech,Healthcare,Big Data,Cloud Computing,Cybersecurity"
Kraken Ventures,"Kraken Ventures is a global venture capital fund that invests in businesses and projects at the intersection of FinTech and Blockchain/Crypto revolutions. As an independent strategic partner of Kraken, the world's leading crypto platform, Kraken Ventur...",Very weak,"Seed,Series A,Early Stage","Crypto,Blockchain,FinTech"
Block0,"Block0 is a blockchain partner specializing in supporting DeFi, NFT, and Web3 startups. As an angel crypto fund, Block0 backs exceptional founders in the blockchain technology space, offering venture capital and private equity support.",Very weak,"Angel,Seed,Early Stage","Web3,DeFi,Blockchain,NFTs"
BAM Ventures,"BAM Ventures is an early stage consumer-focused venture capital fund in LA, backing resilient founders with innovative visions to transform commerce and create iconic brands.",Weak,"Angel,Seed,Early Stage","Consumer,E-Commerce / Marketplaces"
Multitudes,"Multitudes is a venture capital firm investing in diverse, emerging managers and high-growth companies to support the next generation of innovation.",Very weak,"Early Stage,Growth Stage,Late Stage",
ensemblevc,Ensemble VC is a modern venture capital firm that optimizes team and operations for startups through expert advisors and a data platform.,Weak,,
Acceleprise,Forum Ventures is a leading early-stage B2B SaaS fund and startup accelerator that supports and invests in founders by providing resources and expertise to help them develop successful software-as-a-service ventures from inception to growth.,Very weak,"Pre-Seed,Seed,Early Stage","Enterprise,Cloud Computing,E-Commerce / Marketplaces"
Blockchain Capital,"Blockchain Capital, founded in 2013, is a leading venture investor in the blockchain industry. They provide capital, expertise, partnerships, and strategic support to entrepreneurs building innovative companies and projects based on blockchain technolo...",Weak,"Seed,Series A,Early Stage,Growth Stage",Blockchain
CB Insights,"CB Insights is a technology market intelligence company that predicts technology trends and provides insights on venture capital, startups, and tech news.",Strong,,
Relayer Capital,"Relayer Capital is a company dedicated to supporting the builders of infrastructure, protocols, and applications driving mainstream crypto adoption. They provide services to empower the growth of the crypto ecosystem.",Weak,"Pre-Seed,Seed,Series A,Series B,Early Stage,Growth Stage","Crypto,DeFi,Blockchain"
Portal Ventures,Portal Ventures is a venture capital and private equity firm that combines business fundamentals with a crypto-native perspective to support innovators in the early stages of their projects.,Weak,"Angel,Seed,Early Stage","Crypto,Blockchain,FinTech"
Sacra,"Sacra is a research platform for private markets, angel and secondary investing, providing insights on pre-IPO, growth stage, and early stage companies. It serves as the information infrastructure for the private markets, offering a robust model for mo...",Very strong,"Pre-Seed,Early Stage,Growth Stage",
Reference Capital (formerly Genevest),"Reference Capital is a privately held advisory firm that specializes in researching and investing in disruptive technologies, providing tailored investment management services for both institutional and private clients since 2019.",Strong,,
Eniac Ventures,"Eniac Ventures specializes in leading preseed and seed funding rounds for innovative founders who leverage mobile technology to build transformative startups, drawing on the extensive experience of its founders in the entrepreneurial landscape.",Weak,"Pre-Seed,Seed",
Access Ventures,Access Venture Partners is a Colorado-based venture capital firm that focuses on investing in passionate founders of early-stage technology startups.,Very weak,"Angel,Seed,Early Stage",
Electric Capital,"Electric Capital is an early-stage venture firm that invests in innovative founders and startups within the cryptocurrency, blockchain, fintech, and marketplace sectors, aiming to shape the future of Web3.",Very weak,"Angel,Seed,Early Stage","Web3,Crypto,Blockchain,FinTech"
Drake Star Partners,"Drake Star is an award-winning global tech investment bank specializing in mergers & acquisitions and corporate finance services across various sectors. With over 400 transactions completed since 2003, their team of 100+ professionals offers strategic ...",Very weak,,
Indicator Ventures,"Indicator Ventures is a pre-seed and seed stage venture capital firm that invests in technology companies across the U.S., focusing on founders who are developing software solutions that enhance work, life, and wealth-building accessibility.",Strong,"Pre-Seed,Seed","AI,Cloud Computing"
Draper Goren Blockchain,DGB Home page new description,Weak,"Pre-Seed,Seed,Early Stage",Blockchain
MetaWeb.VC,"MetaWeb Ventures is a global crypto firm investing in the future of #Web3, connecting startups with resources and offering comprehensive support in various areas.",Very weak,,"Web3,Crypto,Blockchain"
Hiro Capital,"Hiro Capital is a Luxembourg/London technology Venture Capital fund founded by Luke Alvarez, Ian Livingstone, and Cherry Freeman. They invest in European and UK innovators in Games, Esports, and Digital Sports, focusing on Videogames, Esports, Streamin...",Very weak,"Seed,Series A,Series B,Early Stage,Growth Stage","AI,Blockchain,Big Data,Creator Economy,Mobility / Transportation"
Jolt VC,"AngelList develops comprehensive software solutions that facilitate capital management and enhance investor relations for startups, venture funds, and private equity firms, thereby driving innovation within the startup economy.",Very strong,"Angel,Seed,Early Stage",
Paper Ventures,"Paper Ventures is an innovative investment firm that specializes in emerging technologies. Founded by Danish Chaudhry, Oliver Blakey, and Ivailo Jordanov, the company's portfolio includes Renzo Protocol, Forgotten Playland, Monkey Tilt, and QED 2023.",Very weak,,
TenOneTen Ventures,TenOneTen Ventures is a Los Angeles-based early-stage venture capital firm that invests in entrepreneurs leveraging data and technology to disrupt industries or create new categories. With a team that has founded successful startups and realized over a...,Weak,"Angel,Seed,Series A,Early Stage","AI,FinTech,Healthcare,Enterprise,Big Data,Cloud Computing,E-Commerce / Marketplaces"
NFX,NFX is a venture capital firm specializing in pre-seed and seed stage investments. They support exceptional founders in building market-transforming companies and operate as an invite-only guild for digital networks and marketplaces. NFX emphasizes the...,Very strong,"Pre-Seed,Seed","Consumer,Collaboration / Productivity Tools,E-Commerce / Marketplaces"
Core Finance,Core Finance is a leading technology-focused investment bank offering advisory and capital raising solutions to innovative companies in industrial and technology sectors.,Very weak,,
JAL Ventures,"JAL Ventures is a venture capital firm that provides expansion capital to early revenue stage Israeli technology companies in sectors such as internet, SaaS, ecommerce, and security. With a proven investment strategy and a diverse management team, JAL ...",Very weak,"Series A,Early Stage,Growth Stage","Cloud Computing,Cybersecurity,E-Commerce / Marketplaces"
Girlmath,"Girl Math Capital is an investment firm that supports women in defining their own investment thesis. They invest in companies with founders who are making a positive impact on the world, across various industries and stages. Girl Math Capital welcomes ...",Very weak,"Seed,Series A,Series B,Early Stage,Growth Stage,Late Stage",
Confluence,"Confluence.VC offers a VC Operating Playbook with essential tools and resources for investors, founders, and partners to gain a competitive edge in the venture game, including a community of over 2,000 investors and a range of valuable resources for th...",Weak,,
Dissentcap,Crypto Venture Fund of Funds,Weak,,"Crypto,Blockchain"
Elektra Ventures,Elektra Ventures is a London-based venture capital firm specializing in early-stage startup investments and strategic guidance.,Very weak,"Angel,Pre-Seed,Seed,Early Stage",
Mindset Ventures,"Mindset Ventures is a venture capital firm that invests in B2B startups with advanced technology in sectors such as agriculture, financial services, healthcare, cybersecurity, and enterprise software, while also facilitating their growth and market ent...",Very weak,"Seed,Series A,Series B,Early Stage","Healthcare,Enterprise,Cybersecurity"
8vdX,"VentureInsights.ai offers AI-powered investment and fundraising solutions, revolutionizing venture debt for startups and investors. 8vdX provides early access to promising startups and CNPL financing for growth, creating a powerful flywheel for founder...",Strong,"Seed,Early Stage,Growth Stage",
Green Egg Ventures,"Green Egg Ventures is an early stage venture capital fund that specializes in discovering, investing in, and supporting software startups that address business challenges across various industries through angel and seed investments.",Very weak,"Angel,Seed,Early Stage","AI,FinTech,Big Data,Cloud Computing,Cybersecurity,Collaboration / Productivity Tools,E-Commerce / Marketplaces"
Architect Partners LLC,"Architect Partners is a front-line advisory firm specializing in crypto, fintech, and beyond. They provide strategic capital raising, M&A execution, and investment banking services to companies in the Internet, mobile, and digital media sectors. With a...",Very weak,,"Crypto,FinTech"
Blue Bear Capital,"Blue Bear Capital specializes in providing venture capital funding to innovative startups focused on artificial intelligence solutions within the energy, infrastructure, and climate sectors.",Very weak,"Seed,Series A,Early Stage","AI,Climate Tech"
Untapped Capital,Untapped Capital is an early stage venture capital firm that focuses on investing in unexpected founders in the United States.,Weak,"Angel,Seed,Early Stage",
CVS Health Ventures,,,,
Cache Ventures,"Cache Ventures specializes in building, advising, and investing in innovative startups and products, leveraging a collaborative approach among entrepreneurs to create successful business ventures.",Very weak,,
Floodgate,"Floodgate is a venture capital firm that focuses on early stage investments in technology companies. They back the top 0.1% of Founders, known as Prime Movers, who create massive outcomes from nothing by defying conventional wisdom and rewriting the ru...",Very weak,"Angel,Pre-Seed,Seed,Early Stage","AI,Blockchain,FinTech,Big Data,Cybersecurity,E-Commerce / Marketplaces,Robotics"
Barrel Ventures,"Barrel Ventures is a company dedicated to supporting innovative entrepreneurs who are tackling the challenges in our global supply chain and food ecosystem. With a focus on sustainability and efficiency, Barrel Ventures aims to invest in and empower bu...",Very weak,"Seed,Series A,Early Stage","Consumer,E-Commerce / Marketplaces,Climate Tech"
VNTR Investment Syndicate and Investors Community,"VNTR Capital is a global investment community and syndicate specializing in fast-growing startups, offering exclusive deal flow and co-investment opportunities with a dynamic community of accomplished peers.",Very strong,"Seed,Series A,Early Stage,Growth Stage,Late Stage",
Overline VC,"Overline is a seed stage venture capital firm based in Atlanta that leads pre-seed and seed investments in exceptional founders across various sectors in the Southeast, providing funding ranging from $250,000 to $1.5 million to support early-stage star...",Very weak,"Pre-Seed,Seed",
Cosmic,"Cosmic Venture Partners is a venture capital and private equity firm based in Austin, investing in the next generation of consumer platforms, products, and services. They focus on promising early-stage companies to drive innovation and growth in the ma...",Very weak,"Angel,Seed,Series A,Early Stage",Consumer
2468 Ventures,"2468 Ventures is a company founded by Pankaj Kedia, a renowned AI thought leader, offering AI investing, advisory, and consulting services. With expertise in Internet, Mobile, and Cloud technologies, the company provides strategic guidance and investme...",Weak,,"AI,Cloud Computing"
Resolute Ventures,"Resolute Ventures focuses on fostering a community of entrepreneurial founders by serving as a lead investor for seed stage startups, aiming to support those who are driven to create impactful ventures and believe in the power of collaboration among li...",Very weak,"Angel,Seed",E-Commerce / Marketplaces
Lionheart Ventures,"Lionheart Ventures is a global venture capital firm dedicated to mitigating civilizational risk by strategically investing in transformative technologies. Specializing in artificial intelligence and mental health innovations, we aim to make humanity mo...",Very weak,,"AI,Healthcare"
Variant,Variant is a venture capital firm investing in the ownership economy through web3 projects that empower users to become owners.,Very weak,,"Web3,Crypto,DeFi"
NZVC,"NZVC operates as an investment and support entity for founders in New Zealand, leveraging its expertise and capital to foster the growth of innovative ventures in a borderless and remote working economy.",Very weak,"Angel,Pre-Seed,Seed,Early Stage","FinTech,E-Commerce / Marketplaces"
Ground Up Ventures,"Ground Up Ventures supports seed and pre-seed companies, guiding visionary entrepreneurs in building their startups from inception. They prioritize early engagement and aim to be the initial investor for promising ventures.",Very weak,"Pre-Seed,Seed,Early Stage",
Kesha Ventures,Kesha Ventures is a Seed and Pre-Seed VC investing in Fintech and Web 3 startups during early stages.,Very weak,"Pre-Seed,Seed,Early Stage","Web3,FinTech"
Bitcoin Frontier Fund,"Bitcoin Frontier Fund is a venture capital and private equity firm that focuses on investing in new enabling technologies and tools for the Bitcoin ecosystem. They support the development of new networks, cryptography, zk rollups/proofs, hardware, mini...",Very weak,"Angel,Seed,Early Stage","Crypto,Blockchain,FinTech"
Blockchain Coinvestors,"Blockchain Coinvestors is a leading institutional platform that offers global, diversified exposure to early-stage blockchain venture investments. With a consistent investment thesis since 2014, the company provides access to a portfolio of 750+ blockc...",Very weak,"Angel,Seed,Early Stage",Blockchain
Overton Venture Capital,Overton Venture Capital: Investing in transformative brands and services for the evolving consumer landscape.,Strong,,
Everest Ventures Group,"Headquartered in Hong Kong, Everest Ventures Group (EVG) is a Web3 focused global venture building group driving mass adoption of Web3. With a global team of 300, we have built and launched a diverse portfolio of products for the future of digital interaction across use cases, such as Aspen Digital, Mugen Interactive, Kiki, LiveArt, Blocktempo, Cassava Network, and Adaverse. As an early investor and lead advisor, we have contributed to unicorns and 100+ defining projects such as Dapper Labs (Flow), Animoca Brands, Immutable, The Sandbox, Yuga Labs, Kraken, Lukka, and Upbit. We pride ourselves on being a bridge between mainstream business leaders, cultural icons, and Web3 innovators. By bridging traditional spheres with the dynamism of the Web3 community, we are building tomorrow today, ushering in an open, fool-proof digital future.",Very weak,,
Acadian Ventures,"Acadian Ventures is a venture capital firm backing visionary founders and companies in the future of work, driving productivity and economic advancement.",Very weak,,Collaboration / Productivity Tools
Looking Glass Capital,"Looking Glass Capital is a venture capital firm that serves as a 'first yes' pre-seed investor, supporting mission-driven founders tackling challenges in health, climate, and empowerment. They invest in and support entrepreneurs during the early stages...",Very weak,"Pre-Seed,Early Stage","Healthcare,Climate Tech"
Dominet Venture Partners,"Dominet provides capital and strategic partnership to promising tech startups in Australia, facilitating additional funding through a network of investors and offering support in goal-setting, growth frameworks, and operational guidance from their co-w...",Weak,"Seed,Series A,Series B,Early Stage,Growth Stage,Late Stage","AI,FinTech,Healthcare,Cloud Computing,Cybersecurity"
M13,"M13 is a brand development and investment company founded by brothers Carter and Courtney Reum. They specialize in accelerating businesses at the intersection of consumer products, technology, and media. With a focus on institutionalizing the brand cre...",Strong,"Seed,Series A,Series B,Early Stage","AI,Consumer,Big Data,E-Commerce / Marketplaces"
KeenCryptoAndyV,"KeenCrypto offers venture capital and private equity services to cryptocurrency principals, providing strategic investments and financial expertise.",Good,,"Crypto,DeFi,Blockchain"
HH Hodlers Limited,"HH Hodlers Limited is a company that advises and invests in carefully selected frontier tech start-ups. With a CEO experienced in entrepreneurship and multiple successful exits, the company works with leading VR medical training companies and invests i...",Good,"Angel,Seed,Series A,Early Stage","AI,Blockchain,FinTech,Healthcare,Cybersecurity,E-Commerce / Marketplaces,Climate Tech,Robotics,Defense Tech"
Countdown Capital,"Countdown invests in founders rebuilding the American industrial base at the earliest stages, focusing on aerospace, manufacturing, defense, energy, and construction sectors to secure a prosperous future.",Very weak,"Pre-Seed,Early Stage",Defense Tech
Necessary Ventures,"Our world has no shortage of challenges. Every day, we continue to struggle against illness and disease, a lack of opportunity, homelessness, violence and oppression, climate change, and hunger. Technology offers powerful solutions to these challenges. We work with the best founders building the most scalable solutions. Founders compelled by their mission. Founders building Necessary Ventures.",Very weak,"Seed,Series A,Early Stage","Healthcare,Climate Tech"
typo,"Typo, LLC is a company that invests in diversified opportunities in the private equity, venture capital, and real estate space. They are known for their expertise in Venture Capital and Private Equity Principals.",Weak,,
Astelios,"Astel Ventures partners with entrepreneurs by investing in their ventures and facilitating connections to a global network of strategic investors, while also providing on-demand air travel services through personal aircraft that can be booked via mobil...",Very weak,"Seed,Series A,Early Stage",
Insight Capital,Insight Capital: Venture Capital and Private Equity firm investing in high-growth companies for strategic guidance and financial support.,Very weak,,"FinTech,E-Commerce / Marketplaces,Insurtech"
Race Capital,Race Capital is a Palo Alto-based venture capital firm investing in early stage startups in infrastructure sectors to shape the future.,Very weak,"Pre-Seed,Seed,Early Stage",
Motivate Venture Capital,"Motivate Venture Capital invests in very early-stage startups, offering capital, experience, and connections to ambitious founders to bring innovative ideas to life.",Very weak,"Angel,Pre-Seed,Seed,Early Stage","FinTech,E-Commerce / Marketplaces"
Dream Ventures,"Dream Ventures connects the most innovative female founders with strategic investors and partnerships, serving as a female-focused fund and incubator. They specialize in facilitating connections between female-owned businesses and investors to secure d...",Very weak,"Angel,Pre-Seed,Series A,Early Stage",
Talis Capital,"Talis. specializes in venture capital investment, focusing on Seed and Series A funding for innovative founders in Europe and the US who are poised to create category-defining companies.",Very weak,"Seed,Series A",
sound ventures,Sound Ventures is a venture capital firm founded by Ashton Kutcher and Guy Oseary. The company invests in innovative startups across various industries to support their growth and success.,Very weak,,
Greenfield One,Greenfield is a European crypto investment firm that supports early developer teams focused on creating a decentralized and more resilient infrastructure for the future of the internet.,Very weak,"Pre-Seed,Seed,Early Stage","Web3,Crypto,Blockchain"
CNBB Venture Partners,"CNBB Equity Partners is a software-focused investment firm that provides capital and strategic support to entrepreneurs to help them achieve their growth ambitions. With a focus on venture capital and private equity investments in Europe, CNBB acts as ...",Very weak,None,E-Commerce / Marketplaces
Wonder Ventures,"Wonder Ventures is a venture capital firm based in Southern California, investing in innovative technology companies with a focus on addressing global challenges. With a strong community of over 200 founders and thousands of employees, Wonder Ventures ...",Good,,"AI,FinTech,Healthcare,Cloud Computing,Cybersecurity,Biotech / Life Sciences,Climate Tech,Mobility / Transportation,Robotics,Space Tech"
BlueNodeCapital,Blue Node Capital is a private investment firm based in Hong Kong that focuses on making digital asset & equity investments in small and medium-sized enterprises (SMEs) in the technology and blockchain space. The firm partners with high-growth companie...,Very weak,"Seed,Series A,Early Stage,Growth Stage",Blockchain
Maccabee Ventures,"Maccabee Ventures is an NYC-based venture capital firm specializing in early-stage tech investments. With a focus on building authentic relationships, they provide founders with strategic partnerships and meaningful introductions to support business gr...",Weak,"Pre-Seed,Seed,Early Stage","AI,FinTech,Consumer,Big Data,Cloud Computing,Mobility / Transportation"
Transposeplatform,"Transpose Platform is a global venture capital firm founded in 2015 by Alex Bangash and Trang Nguyen. The company partners with innovative founders from Day 0, aiming to build category-defining companies of the future. Transpose Platform is dedicated t...",Very weak,"Angel,Pre-Seed,Seed,Early Stage",
Outrun Ventures,"Outrun Ventures is an angel investment firm specializing in FinTech, Web3, and RegTech. They support outstanding founders from Series Seed to Series A and beyond, aiming to make a material difference to their customers. Their portfolio addresses outdat...",Very weak,"Angel,Seed,Series A","Web3,FinTech"
Double Down,,Very weak,,"FinTech,Consumer,Enterprise,E-Commerce / Marketplaces,Insurtech"
Torch Capital,"Torch Capital is a brand-focused investment firm supporting mission-driven consumer companies across healthcare, fintech, and digital media sectors.",Very weak,,"FinTech,Healthcare"
The Bridge by Bridge Funding Global,"Bridge Funding Global bridges the funding gap, fosters capital opportunities for women emerging managers, and connects them to LPs in the financial services sector.",Good,"Angel,Seed,Early Stage,Growth Stage",FinTech
futureland ventures,"futureland ventures invests in early-stage technology startups that focus on developing sustainable, resilient, and inclusive solutions for a connected future, including innovations like electric autonomous freight trains and environmentally responsibl...",Very strong,"Pre-Seed,Seed,Early Stage","Climate Tech,Mobility / Transportation"
186 ventures,"186 Ventures is an early-stage technology investment firm that supports agile teams working on disruptive problems. They offer operational and investing support to tech start-ups and businesses, helping them grow and succeed.",Very weak,"Pre-Seed,Seed,Series A,Early Stage","AI,FinTech,Healthcare,Cloud Computing"
DMV Capital Corp,"DMV Capital, also known as Devon George Venture Capital, is a full-stack investment and consulting firm specializing in venture capital, equities, and credit. They provide services in scaling finance, strategy, operations, tech enablement, human resour...",Very weak,,
Artichoke Capital,"Artichoke Capital is a web3 venture capital firm with a team of investors, operators, and founders specializing in blockchain technology. They focus on digitizing relationships, assets, and information to support the next generation of builders in the ...",Very weak,"Pre-Seed,Seed,Series A,Early Stage","Web3,Blockchain"
Mirana,"We invest in projects and funds. Our Partners have built multiple organizations including: Windranger Labs, BitDAO, Dekrypt Capital...",Weak,,
Cadenza Capital Management,"Cadenza Ventures invests in digital finance and blockchain technologies, with notable investments in BlockFi, Blockfolio, Rain, ZEBEDEE, FalconX, and CoinDCX.",Very weak,"Seed,Series A,Early Stage","Blockchain,FinTech"
District Capital,"District Capital is the investment arm of a Hong Kong based family office, dedicated to finding, funding, and partnering with entrepreneurs who aim to address pressing socio-economic or environmental challenges with scalable solutions. They focus on gr...",Very weak,"Seed,Series A,Early Stage,Growth Stage","FinTech,Consumer,Climate Tech"
Poise Ventures,"Poise Ventures is a privately held investment firm led by Val Katayev, focusing on high tech, media, and education startups. It also invests in debt through P2P/Marketplace Lending platforms.",Very weak,"Seed,Series A,Early Stage","AI,Big Data,Cloud Computing,Cybersecurity"
Bessemer Venture Partners,"Bessemer Venture Partners is a venture capital firm that collaborates with ambitious entrepreneurs to develop sustainable businesses, providing support and insights throughout various stages of growth, backed by a robust portfolio of over 300 companies...",Very weak,"Seed,Series A,Series B,Series C+,Early Stage,Growth Stage,Late Stage",
What If Ventures,What If Ventures is a Mental Health Venture Capital firm investing in startups addressing mental health and healthcare challenges with a focus on stigma-free solutions.,Good,"Angel,Seed,Early Stage",Healthcare
Kapvista,"KapVista operates a global marketplace that connects emerging companies with high net worth investors, facilitating the capital-raising process by matching qualified investors to private investment opportunities across multiple countries.",Very weak,,
Greenfield One,Greenfield is a European crypto investment firm that supports early developer teams focused on creating a decentralized and more resilient infrastructure for the future of the internet.,Very weak,"Angel,Seed,Early Stage","Web3,Crypto"
Digital Finance Group,"DFG is a global investment firm specializing in blockchain and Web 3.0 technologies. With over $1 billion in assets under management, DFG empowers the blockchain ecosystem through investments in sectors like Web 3.0, CeFi, DeFi, NFTs, and the Polkadot ...",Very weak,"Seed,Series A,Series B,Early Stage,Growth Stage,Late Stage","Web3,DeFi,Blockchain,NFTs"
FBRC.ai,"FBRC.ai pioneers AI driven entertainment, architecting the next generation studio framework. It operates as a two-sided marketplace supporting early-stage AI startups in finding product pipeline fit and assisting corporations in integrating AI into the...",Very weak,"Pre-Seed,Seed,Early Stage","AI,E-Commerce / Marketplaces"
6th Man Ventures,"6MV is an early-stage crypto VC firm that invests in web3 applications and infrastructure. They are a web3 native collective of investors, founders, and builders who partner with innovators to create the user-owned internet. Founded by a group passiona...",Very strong,"Angel,Pre-Seed,Seed,Early Stage","Web3,Crypto,Blockchain,FinTech"
Menyala,"Menyala, a venture building team by Temasek, creates scalable ventures in decentralized technologies to drive exponential value through innovative business models.",Good,,"DeFi,Blockchain,FinTech"
Dragonfly Capital,"Dragonfly is a leading global crypto investment fund that backs and supports crypto projects worldwide. With a focus on cross-border investments, Dragonfly brings over 10 years of experience to help crypto teams achieve global innovation and adoption.",Weak,,"Crypto,Blockchain"
Scalenewsletter,"SCALE Newsletter provides a weekly newsletter that delivers insights and interviews from leading growth stage founders and investors, focusing on transformative trends and innovations in various industries.",Very weak,Growth Stage,
Eniac,"Eniac Ventures specializes in leading preseed and seed funding rounds for innovative founders who leverage mobile technology to build transformative startups, drawing on the extensive experience of its founders in the entrepreneurial landscape.",Very weak,"Pre-Seed,Seed","AI,Consumer,E-Commerce / Marketplaces"
Timelock Ventures,Timelock Ventures is a venture capital and advisory firm that supports early stage startups in the blockchain and financial services sector. The company aims to incentivize intelligent disintermediation and empower end users by identifying disruptive i...,Very weak,"Pre-Seed,Seed,Early Stage","Blockchain,FinTech"
Anthemis Group,"Anthemis is a digital financial services firm reinventing finance through strategic investments and advisory services, fostering innovation and equity in the financial system.",Very weak,,FinTech
